,wavelength,intensity
0,386.587,766.0
1,386.77701964224633,772.0
2,386.96703456781063,788.0
3,387.15704477493097,801.0
4,387.3470502618452,798.0
5,387.53705102679146,788.0
6,387.72704706800766,791.0
7,387.91703838373184,801.0
8,388.107024972202,805.0
9,388.297006831656,801.0
10,388.486983960332,802.0
11,388.6769563564679,805.0
12,388.8669240183017,799.0
13,389.0568869440714,801.0
14,389.246845132015,811.0
15,389.43679858037046,815.0
16,389.6267472873758,818.0
17,389.81669125126905,807.0
18,390.00663047028814,792.0
19,390.19656494267116,792.0
20,390.38649466665595,794.0
21,390.57641964048065,795.0
22,390.76633986238306,788.0
23,390.9562553306014,791.0
24,391.14616604337357,807.0
25,391.3360719989375,812.0
26,391.52597319553115,818.0
27,391.7158696313927,799.0
28,391.90576130476006,769.0
29,392.09564821387113,779.0
30,392.28553035696405,802.0
31,392.4754077322766,805.0
32,392.665280338047,801.0
33,392.8551481725131,807.0
34,393.04501123391293,811.0
35,393.2348695204845,810.0
36,393.4247230304658,808.0
37,393.6145717620948,792.0
38,393.80441571360956,779.0
39,393.9942548832479,798.0
40,394.184089269248,820.0
41,394.3739188698477,821.0
42,394.5637436832852,821.0
43,394.7535637077983,815.0
44,394.9433789416251,799.0
45,395.1331893830035,794.0
46,395.32299503017157,795.0
47,395.51279588136725,804.0
48,395.70259193482855,815.0
49,395.8923831887935,836.0
50,396.0821696415,851.0
51,396.2719512911861,843.0
52,396.46172813608985,830.0
53,396.65150017444915,802.0
54,396.84126740450205,789.0
55,397.0310298244865,802.0
56,397.2207874326405,804.0
57,397.4105402272021,810.0
58,397.6002882064092,818.0
59,397.7900313684998,823.0
60,397.979769711712,828.0
61,398.16950323428364,812.0
62,398.35923193445285,791.0
63,398.5489558104576,802.0
64,398.73867486053575,831.0
65,398.9283890829255,846.0
66,399.11809847586466,836.0
67,399.3078030375913,825.0
68,399.4975027663434,834.0
69,399.687197660359,828.0
70,399.876887717876,811.0
71,400.06657293713243,801.0
72,400.2562533163663,807.0
73,400.44592885381564,827.0
74,400.6355995477183,833.0
75,400.82526539631243,837.0
76,401.014926397836,828.0
77,401.20458255052694,807.0
78,401.39423385262324,807.0
79,401.58388030236296,810.0
80,401.7735218979839,808.0
81,401.9631586377244,821.0
82,402.15279051982213,824.0
83,402.34241754251525,828.0
84,402.53203970404167,836.0
85,402.72165700263946,828.0
86,402.9112694365466,818.0
87,403.100877004001,810.0
88,403.2904797032407,817.0
89,403.48007753250374,815.0
90,403.669670490028,810.0
91,403.85925857405164,824.0
92,404.0488417828125,831.0
93,404.23842011454855,824.0
94,404.4279935674979,814.0
95,404.6175621398985,807.0
96,404.80712582998837,815.0
97,404.9966846360054,817.0
98,405.1862385561878,799.0
99,405.3757875887733,802.0
100,405.565331732,828.0
101,405.75487098410593,847.0
102,405.9444053433291,846.0
103,406.1339348079074,836.0
104,406.32345937607886,828.0
105,406.5129790460815,810.0
106,406.7024938161533,805.0
107,406.89200368453226,830.0
108,407.08150864945634,830.0
109,407.2710087091636,817.0
110,407.460503861892,824.0
111,407.6499941058795,840.0
112,407.8394794393641,856.0
113,408.02895986058377,850.0
114,408.2184353677766,837.0
115,408.4079059591805,831.0
116,408.5973716330335,827.0
117,408.7868323875735,820.0
118,408.97628822103866,810.0
119,409.1657391316668,808.0
120,409.35518511769595,815.0
121,409.5446261773642,820.0
122,409.73406230890953,828.0
123,409.9234935105698,844.0
124,410.1129197805831,843.0
125,410.3023411171875,825.0
126,410.49175751862083,817.0
127,410.68116898312115,836.0
128,410.87057550892644,841.0
129,411.05997709427476,821.0
130,411.24937373740397,824.0
131,411.4387654365522,833.0
132,411.62815218995735,827.0
133,411.81753399585745,830.0
134,412.0069108524905,844.0
135,412.19628275809447,860.0
136,412.3856497109074,870.0
137,412.5750117091672,856.0
138,412.7643687511119,825.0
139,412.9537208349795,820.0
140,413.14306795900796,827.0
141,413.3324101214353,824.0
142,413.52174732049957,828.0
143,413.7110795544387,840.0
144,413.90040682149066,838.0
145,414.0897291198935,834.0
146,414.2790464478851,837.0
147,414.4683588037036,820.0
148,414.65766618558695,801.0
149,414.8469685917731,808.0
150,415.0362660205,834.0
151,415.22555847000575,854.0
152,415.4148459385283,840.0
153,415.6041284243056,838.0
154,415.79340592557566,850.0
155,415.98267844057654,836.0
156,416.1719459675461,828.0
157,416.36120850472247,828.0
158,416.5504660503436,840.0
159,416.73971860264743,867.0
160,416.928966159872,870.0
161,417.11820872025527,854.0
162,417.3074462820353,847.0
163,417.49667884345,850.0
164,417.68590640273743,843.0
165,417.87512895813546,825.0
166,418.0643465078823,824.0
167,418.25355905021576,827.0
168,418.44276658337384,821.0
169,418.6319691055946,838.0
170,418.82116661511594,863.0
171,419.010359110176,866.0
172,419.1995465890127,870.0
173,419.388729049864,864.0
174,419.57790649096796,843.0
175,419.7670789105625,830.0
176,419.95624630688565,833.0
177,420.1454086781754,850.0
178,420.33456602266966,859.0
179,420.52371833860656,863.0
180,420.712865624224,863.0
181,420.90200787776,862.0
182,421.09114509745257,864.0
183,421.28027728153967,847.0
184,421.4694044282593,838.0
185,421.6585265358495,849.0
186,421.84764360254815,844.0
187,422.0367556265934,843.0
188,422.2258626062231,857.0
189,422.4149645396753,860.0
190,422.604061425188,851.0
191,422.7931532609992,846.0
192,422.98224004534677,850.0
193,423.1713217764689,856.0
194,423.3603984526035,854.0
195,423.5494700719885,862.0
196,423.7385366328619,866.0
197,423.9275981334618,872.0
198,424.1166545720261,886.0
199,424.30570594679284,879.0
200,424.49475225599997,866.0
201,424.68379349788546,875.0
202,424.8728296706875,890.0
203,425.06186077264374,899.0
204,425.25088680199246,889.0
205,425.43990775697154,877.0
206,425.6289236358189,873.0
207,425.8179344367727,877.0
208,426.00694015807085,899.0
209,426.1959407979512,889.0
210,426.38493635465204,860.0
211,426.5739268264111,850.0
212,426.7629122114665,856.0
213,426.9518925080562,875.0
214,427.1408677144182,877.0
215,427.32983782879046,879.0
216,427.5188028494111,890.0
217,427.7077627745179,879.0
218,427.896717602349,869.0
219,428.0856673311424,875.0
220,428.274611959136,863.0
221,428.46355148456786,873.0
222,428.652485905676,896.0
223,428.84141522069825,896.0
224,429.0303394278728,892.0
225,429.21925852543745,876.0
226,429.4081725116304,873.0
227,429.59708138468955,879.0
228,429.7859851428529,870.0
229,429.9748837843584,872.0
230,430.163777307444,883.0
231,430.35266571034776,893.0
232,430.54154899130776,895.0
233,430.7304271485619,886.0
234,430.9193001803481,899.0
235,431.1081680849045,905.0
236,431.29703086046896,882.0
237,431.4858885052796,877.0
238,431.67474101757426,889.0
239,431.8635883955911,901.0
240,432.05243063756797,916.0
241,432.241267741743,919.0
242,432.430099706354,914.0
243,432.61892652963905,918.0
244,432.80774820983623,925.0
245,432.9965647451835,916.0
246,433.18537613391874,905.0
247,433.37418237428,921.0
248,433.56298346450535,925.0
249,433.7517794028326,905.0
250,433.9405701875,909.0
251,434.1293558167453,922.0
252,434.3181362888066,919.0
253,434.50691160192196,915.0
254,434.6956817543292,919.0
255,434.8844467442665,931.0
256,435.0732065699717,934.0
257,435.26196122968287,932.0
258,435.45071072163796,921.0
259,435.63945504407496,908.0
260,435.82819419523196,925.0
261,436.01692817334686,932.0
262,436.2056569766576,925.0
263,436.39438060340234,924.0
264,436.583099051819,928.0
265,436.77181232014544,953.0
266,436.9605204066198,966.0
267,437.14922330948013,948.0
268,437.33792102696424,925.0
269,437.52661355731016,927.0
270,437.715300898756,941.0
271,437.90398304953965,928.0
272,438.09266000789916,912.0
273,438.28133177207246,937.0
274,438.46999834029754,950.0
275,438.6586597108125,938.0
276,438.84731588185525,951.0
277,439.0359668516638,947.0
278,439.22461261847604,937.0
279,439.41325318053015,954.0
280,439.601888536064,950.0
281,439.7905186833156,938.0
282,439.979143620523,945.0
283,440.1677633459241,970.0
284,440.3563778577569,976.0
285,440.5449871542595,951.0
286,440.73359123366976,937.0
287,440.92219009422575,925.0
288,441.1107837341655,928.0
289,441.29937215172686,945.0
290,441.48795534514795,950.0
291,441.6765333126668,967.0
292,441.8651060525212,1002.0
293,442.0536735629493,1013.0
294,442.2422358421891,996.0
295,442.4307928884785,986.0
296,442.61934470005554,990.0
297,442.8078912751582,990.0
298,442.99643261202453,976.0
299,443.1849687088924,966.0
300,443.373499564,979.0
301,443.5620251755851,997.0
302,443.7505455418858,1015.0
303,443.93906066114016,1023.0
304,444.12757053158606,1022.0
305,444.31607515146146,1026.0
306,444.5045745190045,1035.0
307,444.69306863245305,1029.0
308,444.88155749004517,1026.0
309,445.07004109001883,1045.0
310,445.25851943061195,1054.0
311,445.4469925100626,1045.0
312,445.63546032660884,1052.0
313,445.8239228784886,1059.0
314,446.0123801639398,1041.0
315,446.20083218120044,1036.0
316,446.3892789285086,1055.0
317,446.5777204041023,1059.0
318,446.7661566062194,1058.0
319,446.95458753309805,1059.0
320,447.14301318297606,1064.0
321,447.33143355409146,1067.0
322,447.5198486446823,1068.0
323,447.7082584529867,1062.0
324,447.8966629772424,1041.0
325,448.0850622156875,1048.0
326,448.27345616656004,1071.0
327,448.461844828098,1075.0
328,448.65022819853925,1062.0
329,448.83860627612194,1038.0
330,449.026979059084,1033.0
331,449.2153465456634,1046.0
332,449.4037087340982,1061.0
333,449.59206562262625,1078.0
334,449.78041720948573,1078.0
335,449.96876349291455,1082.0
336,450.15710447115055,1088.0
337,450.34544014243204,1074.0
338,450.5337705049967,1075.0
339,450.7220955570827,1091.0
340,450.910415296928,1117.0
341,451.09872972277054,1124.0
342,451.2870388328484,1106.0
343,451.4753426253995,1111.0
344,451.6636410986619,1126.0
345,451.85193425087346,1121.0
346,452.0402220802724,1107.0
347,452.22850458509646,1094.0
348,452.41678176358374,1091.0
349,452.60505361397225,1116.0
350,452.7933201345,1133.0
351,452.98158132340495,1129.0
352,453.16983717892504,1119.0
353,453.3580876992983,1126.0
354,453.54633288276284,1163.0
355,453.73457272755644,1165.0
356,453.9228072319173,1160.0
357,454.11103639408327,1168.0
358,454.2992602122924,1147.0
359,454.4874786847826,1139.0
360,454.675691809792,1153.0
361,454.86389958555844,1176.0
362,455.0521020103201,1179.0
363,455.2402990823148,1172.0
364,455.4284907997806,1188.0
365,455.6166771609555,1189.0
366,455.8048581640774,1176.0
367,455.99303380738445,1185.0
368,456.1812040891146,1191.0
369,456.3693690075058,1185.0
370,456.55752856079596,1189.0
371,456.7456827472232,1179.0
372,456.9338315650255,1171.0
373,457.1219750124408,1181.0
374,457.3101130877071,1189.0
375,457.4982457890625,1189.0
376,457.6863731147448,1194.0
377,457.87449506299214,1208.0
378,458.06261163204243,1215.0
379,458.2507228201337,1220.0
380,458.43882862550396,1221.0
381,458.6269290463912,1212.0
382,458.81502408103336,1212.0
383,459.00311372766845,1217.0
384,459.1911979845345,1207.0
385,459.3792768498695,1207.0
386,459.56735032191136,1207.0
387,459.75541839889814,1207.0
388,459.9434810790679,1208.0
389,460.13153836065857,1204.0
390,460.31959024190803,1224.0
391,460.5076367210544,1233.0
392,460.6956777963356,1221.0
393,460.88371346598973,1238.0
394,461.0717437282547,1260.0
395,461.25976858136846,1270.0
396,461.44778802356916,1280.0
397,461.6358020530946,1270.0
398,461.82381066818294,1253.0
399,462.0118138670721,1260.0
400,462.199811648,1250.0
401,462.38780400920473,1223.0
402,462.5757909489243,1225.0
403,462.7637724653965,1246.0
404,462.9517485568596,1256.0
405,463.1397192215515,1257.0
406,463.32768445771006,1263.0
407,463.5156442635735,1249.0
408,463.70359863737957,1247.0
409,463.89154757736645,1253.0
410,464.079491081772,1246.0
411,464.2674291488343,1275.0
412,464.4553617767913,1298.0
413,464.643288963881,1289.0
