,wavelength,intensity
1769,714.4617469969822,788.0
1770,714.640764155235,794.0
1771,714.8197734489908,797.0
1772,714.9987748766762,782.0
1773,715.177768436718,770.0
1774,715.3567541275431,774.0
1775,715.5357319475781,779.0
1776,715.7147018952501,792.0
1777,715.8936639689853,793.0
1778,716.072618167211,775.0
1779,716.2515644883536,770.0
1780,716.4305029308401,785.0
1781,716.6094334930971,794.0
1782,716.7883561735516,782.0
1783,716.9672709706302,765.0
1784,717.1461778827596,774.0
1785,717.3250769083669,800.0
1786,717.5039680458785,812.0
1787,717.6828512937215,813.0
1788,717.8617266503223,797.0
1789,718.040594114108,782.0
1790,718.219453683505,786.0
1791,718.3983053569406,789.0
1792,718.577149132841,781.0
1793,718.7559850096334,767.0
1794,718.9348129857442,781.0
1795,719.1136330596007,793.0
1796,719.292445229629,779.0
1797,719.4712494942565,778.0
1798,719.6500458519096,779.0
1799,719.8288343010153,778.0
1800,720.0076148400001,775.0
1801,720.1863874672908,782.0
1802,720.3651521813144,800.0
1803,720.5439089804975,798.0
1804,720.7226578632669,794.0
1805,720.9013988280493,785.0
1806,721.0801318732717,770.0
1807,721.2588569973607,779.0
1808,721.4375741987432,777.0
1809,721.6162834758455,755.0
1810,721.7949848270952,766.0
1811,721.9736782509182,798.0
1812,722.1523637457417,812.0
1813,722.3310413099927,807.0
1814,722.5097109420975,789.0
1815,722.6883726404832,774.0
1816,722.8670264035763,770.0
1817,723.0456722298038,773.0
1818,723.2243101175924,775.0
1819,723.402940065369,778.0
1820,723.58156207156,788.0
1821,723.7601761345926,781.0
1822,723.9387822528931,765.0
1823,724.1173804248889,761.0
1824,724.2959706490061,763.0
1825,724.474552923672,767.0
1826,724.6531272473129,775.0
1827,724.831693618356,774.0
1828,725.0102520352278,767.0
1829,725.1888024963553,771.0
1830,725.3673450001651,786.0
1831,725.5458795450838,801.0
1832,725.7244061295386,785.0
1833,725.902924751956,763.0
1834,726.0814354107628,761.0
1835,726.2599381043856,766.0
1836,726.4384328312516,777.0
1837,726.6169195897871,773.0
1838,726.7953983784193,779.0
1839,726.9738691955745,797.0
1840,727.1523320396801,788.0
1841,727.3307869091622,774.0
1842,727.509233802448,771.0
1843,727.6876727179641,767.0
1844,727.8661036541373,759.0
1845,728.0445266093943,754.0
1846,728.2229415821622,763.0
1847,728.4013485708673,766.0
1848,728.5797475739367,758.0
1849,728.758138589797,766.0
1850,728.9365216168751,765.0
1851,729.1148966535976,748.0
1852,729.2932636983912,742.0
1853,729.4716227496833,750.0
1854,729.6499738058998,763.0
1855,729.8283168654683,754.0
1856,730.0066519268147,748.0
1857,730.1849789883665,755.0
1858,730.36329804855,740.0
1859,730.5416091057923,734.0
1860,730.7199121585201,739.0
1861,730.8982072051599,734.0
1862,731.0764942441388,735.0
1863,731.2547732738834,748.0
1864,731.4330442928206,765.0
1865,731.6113072993769,771.0
1866,731.7895622919793,757.0
1867,731.9678092690546,734.0
1868,732.1460482290295,727.0
1869,732.3242791703306,740.0
1870,732.502502091385,752.0
1871,732.6807169906192,748.0
1872,732.8589238664603,754.0
1873,733.0371227173345,761.0
1874,733.215313541669,751.0
1875,733.3934963378906,757.0
1876,733.571671104426,761.0
1877,733.7498378397019,759.0
1878,733.9279965421448,766.0
1879,734.106147210182,763.0
1880,734.28428984224,761.0
1881,734.4624244367457,773.0
1882,734.6405509921256,788.0
1883,734.8186695068067,777.0
1884,734.9967799792156,750.0
1885,735.1748824077795,746.0
1886,735.3529767909245,755.0
1887,735.5310631270779,758.0
1888,735.7091414146663,761.0
1889,735.8872116521163,752.0
1890,736.065273837855,750.0
1891,736.2433279703089,773.0
1892,736.4213740479049,781.0
1893,736.5994120690699,763.0
1894,736.7774420322303,748.0
1895,736.9554639358132,750.0
1896,737.1334777782452,758.0
1897,737.3114835579529,757.0
1898,737.4894812733637,763.0
1899,737.6674709229036,771.0
