,wavelength,intensity
0,386.922,759.0
1,387.1124664597978,771.0
2,387.3029278381424,765.0
3,387.49338413346055,769.0
4,387.6838353441789,766.0
5,387.87428146872435,761.0
6,388.0647225055237,762.0
7,388.25515845300373,744.0
8,388.44558930959107,742.0
9,388.6360150737126,752.0
10,388.82643574379506,757.0
11,389.0168513182652,761.0
12,389.20726179554975,747.0
13,389.3976671740756,732.0
14,389.5880674522695,732.0
15,389.77846262855815,734.0
16,389.96885270136835,754.0
17,390.15923766912687,759.0
18,390.3496175302605,740.0
19,390.53999228319594,742.0
20,390.73036192636,746.0
21,390.9207264581795,742.0
22,391.1110858770812,734.0
23,391.30144018149184,731.0
24,391.49178936983816,732.0
25,391.68213344054686,723.0
26,391.8724723920449,723.0
27,392.06280622275904,732.0
28,392.2531349311158,735.0
29,392.44345851554226,747.0
30,392.63377697446504,743.0
31,392.82409030631084,719.0
32,393.0143985095066,717.0
33,393.20470158247895,721.0
34,393.39499952365475,716.0
35,393.5852923314606,709.0
36,393.7755800043235,709.0
37,393.9658625406701,713.0
38,394.15613993892725,711.0
39,394.3464121975216,708.0
40,394.53667931488,705.0
41,394.72694128942925,702.0
42,394.91719811959604,715.0
43,395.10744980380707,723.0
44,395.29769634048927,713.0
45,395.48793772806937,723.0
46,395.6781739649741,739.0
47,395.8684050496303,729.0
48,396.05863098046467,709.0
49,396.248851755904,705.0
50,396.43906737437504,712.0
51,396.62927783430456,702.0
52,396.81948313411937,693.0
53,397.0096832722462,697.0
54,397.1998782471119,712.0
55,397.39006805714314,729.0
56,397.5802527007668,713.0
57,397.7704321764095,690.0
58,397.96060648249806,684.0
59,398.1507756174593,690.0
60,398.34093957972,711.0
61,398.5310983677069,720.0
62,398.7212519798468,728.0
63,398.9114004145664,724.0
64,399.10154367029253,706.0
65,399.29168174545197,716.0
66,399.4818146384714,724.0
67,399.6719423477776,709.0
68,399.8620648717975,701.0
69,400.0521822089577,698.0
70,400.242294357685,706.0
71,400.4324013164063,720.0
72,400.6225030835482,712.0
73,400.8125996575376,702.0
74,401.0026910368011,698.0
75,401.1927772197656,693.0
76,401.38285820485794,697.0
77,401.5729339905048,704.0
78,401.76300457513287,713.0
79,401.953069957169,713.0
80,402.14313013504,700.0
81,402.33318510717265,704.0
82,402.52323487199357,706.0
83,402.7132794279297,697.0
84,402.9033187734077,702.0
85,403.0933529068544,706.0
86,403.28338182669654,713.0
87,403.4734055313609,723.0
88,403.66342401927426,725.0
89,403.85343728886335,720.0
90,404.04344533855505,704.0
91,404.233448166776,696.0
92,404.42344577195297,689.0
93,404.61343815251286,688.0
94,404.80342530688233,709.0
95,404.9934072334882,724.0
96,405.18338393075715,723.0
97,405.3733553971161,725.0
98,405.56332163099165,728.0
99,405.7532826308107,728.0
100,405.943238395,729.0
101,406.1331889219863,731.0
102,406.32313421019643,725.0
103,406.513074258057,712.0
104,406.70300906399495,719.0
