,wavelength,intensity
0,386.922,775.0
1,387.1124664597978,779.0
2,387.3029278381424,762.0
3,387.49338413346055,763.0
4,387.6838353441789,763.0
5,387.87428146872435,763.0
6,388.0647225055237,769.0
7,388.25515845300373,751.0
8,388.44558930959107,746.0
9,388.6360150737126,758.0
10,388.82643574379506,762.0
11,389.0168513182652,754.0
12,389.20726179554975,738.0
13,389.3976671740756,743.0
14,389.5880674522695,752.0
15,389.77846262855815,742.0
16,389.96885270136835,754.0
17,390.15923766912687,763.0
18,390.3496175302605,748.0
19,390.53999228319594,750.0
20,390.73036192636,751.0
21,390.9207264581795,744.0
22,391.1110858770812,740.0
23,391.30144018149184,744.0
24,391.49178936983816,747.0
25,391.68213344054686,731.0
26,391.8724723920449,723.0
27,392.06280622275904,729.0
28,392.2531349311158,738.0
29,392.44345851554226,752.0
30,392.63377697446504,750.0
31,392.82409030631084,729.0
32,393.0143985095066,719.0
33,393.20470158247895,712.0
34,393.39499952365475,708.0
35,393.5852923314606,712.0
36,393.7755800043235,717.0
37,393.9658625406701,715.0
38,394.15613993892725,706.0
39,394.3464121975216,706.0
40,394.53667931488,702.0
41,394.72694128942925,698.0
42,394.91719811959604,712.0
43,395.10744980380707,725.0
44,395.29769634048927,734.0
45,395.48793772806937,744.0
46,395.6781739649741,748.0
47,395.8684050496303,734.0
48,396.05863098046467,723.0
49,396.248851755904,724.0
50,396.43906737437504,719.0
51,396.62927783430456,705.0
52,396.81948313411937,700.0
53,397.0096832722462,700.0
54,397.1998782471119,712.0
55,397.39006805714314,731.0
56,397.5802527007668,717.0
57,397.7704321764095,693.0
58,397.96060648249806,686.0
59,398.1507756174593,698.0
60,398.34093957972,716.0
61,398.5310983677069,724.0
62,398.7212519798468,740.0
63,398.9114004145664,736.0
64,399.10154367029253,712.0
65,399.29168174545197,723.0
66,399.4818146384714,732.0
67,399.6719423477776,716.0
68,399.8620648717975,708.0
69,400.0521822089577,709.0
70,400.242294357685,720.0
71,400.4324013164063,732.0
72,400.6225030835482,727.0
73,400.8125996575376,719.0
74,401.0026910368011,711.0
75,401.1927772197656,705.0
76,401.38285820485794,712.0
77,401.5729339905048,721.0
78,401.76300457513287,734.0
79,401.953069957169,736.0
80,402.14313013504,725.0
81,402.33318510717265,728.0
82,402.52323487199357,716.0
83,402.7132794279297,693.0
84,402.9033187734077,704.0
85,403.0933529068544,716.0
86,403.28338182669654,717.0
87,403.4734055313609,728.0
88,403.66342401927426,750.0
89,403.85343728886335,757.0
90,404.04344533855505,736.0
91,404.233448166776,713.0
92,404.42344577195297,694.0
93,404.61343815251286,697.0
94,404.80342530688233,723.0
95,404.9934072334882,736.0
96,405.18338393075715,735.0
97,405.3733553971161,734.0
98,405.56332163099165,731.0
99,405.7532826308107,725.0
100,405.943238395,725.0
101,406.1331889219863,732.0
102,406.32313421019643,738.0
103,406.513074258057,728.0
104,406.70300906399495,724.0
105,406.8929386264369,728.0
106,407.08286294380974,720.0
107,407.2727820145402,724.0
108,407.46269583705504,732.0
109,407.6526044097811,721.0
110,407.842507731145,725.0
111,408.03240579957367,739.0
112,408.22229861349376,748.0
113,408.41218617133217,750.0
114,408.6020684715155,744.0
115,408.79194551247065,743.0
116,408.9818172926244,728.0
117,409.1716838104034,716.0
118,409.36154506423446,712.0
119,409.5514010525444,715.0
120,409.74125177376,731.0
121,409.931097226308,738.0
122,410.1209374086152,738.0
123,410.31077231910825,744.0
124,410.5006019562141,739.0
125,410.6904263183594,729.0
126,410.88024540397095,723.0
127,411.07005921147555,713.0
128,411.25986773929986,717.0
129,411.4496709858708,724.0
130,411.63946894961504,732.0
131,411.82926162895933,739.0
132,412.0190490223306,738.0
133,412.20883112815545,742.0
134,412.3986079448607,735.0
135,412.5883794708732,719.0
136,412.7781457046195,715.0
137,412.9679066445267,715.0
138,413.1576622890213,715.0
139,413.3474126365301,717.0
140,413.53715768548005,731.0
141,413.7268974342977,740.0
142,413.91663188140996,732.0
143,414.1063610252436,728.0
144,414.2960848642253,719.0
145,414.4858033967819,706.0
146,414.67551662134014,717.0
147,414.8652245363268,732.0
148,415.0549271401687,742.0
149,415.2446244312925,739.0
150,415.4343164081251,720.0
151,415.6240030690931,715.0
152,415.8136844126234,713.0
153,416.0033604371427,709.0
154,416.1930311410779,713.0
155,416.38269652285567,719.0
156,416.57235658090275,731.0
157,416.762011313646,735.0
158,416.95166071951206,729.0
159,417.1413047969279,732.0
160,417.33094354432,717.0
161,417.5205769601154,709.0
162,417.71020504274077,715.0
163,417.8998277906229,704.0
164,418.08944520218853,705.0
165,418.2790572758644,711.0
166,418.46866401007736,723.0
167,418.65826540325406,732.0
168,418.84786145382145,708.0
169,419.0374521602062,685.0
170,419.227037520835,681.0
171,419.4166175341348,692.0
172,419.6061921985322,702.0
173,419.7957615124541,705.0
174,419.9853254743271,720.0
175,420.1748840825782,735.0
176,420.3644373356339,731.0
177,420.5539852319213,724.0
178,420.7435277698669,720.0
179,420.93306494789755,723.0
180,421.12259676444,727.0
181,421.31212321792117,713.0
182,421.50164430676756,709.0
183,421.69116002940615,719.0
184,421.8806703842637,727.0
185,422.0701753697669,735.0
186,422.25967498434255,719.0
187,422.44916922641744,702.0
188,422.6386580944183,708.0
189,422.8281415867719,709.0
190,423.01761970190506,713.0
191,423.20709243824444,717.0
192,423.396559794217,715.0
193,423.58602176824934,717.0
194,423.7754783587683,725.0
195,423.9649295642007,734.0
196,424.15437538297317,727.0
197,424.3438158135126,711.0
198,424.53325085424564,712.0
199,424.7226805035992,728.0
200,424.91210476000003,740.0
201,425.10152362187483,744.0
202,425.2909370876504,744.0
203,425.4803451557535,742.0
204,425.6697478246109,738.0
205,425.85914509264944,732.0
206,426.04853695829576,725.0
207,426.2379234199767,721.0
208,426.42730447611905,735.0
209,426.61668012514957,740.0
210,426.806050365495,729.0
211,426.9954151955822,731.0
212,427.1847746138378,725.0
213,427.37412861868864,725.0
214,427.56347720856144,735.0
215,427.7528203818831,734.0
216,427.94215813708036,736.0
217,428.13149047257986,736.0
218,428.32081738680847,738.0
219,428.5101388781929,743.0
220,428.69945494516,743.0
221,428.8887655861365,750.0
222,429.07807079954915,739.0
223,429.26737058382474,716.0
224,429.4566649373901,725.0
225,429.64595385867193,742.0
226,429.83523734609696,738.0
227,430.02451539809203,738.0
228,430.21378801308384,738.0
229,430.40305518949924,731.0
230,430.59231692576503,724.0
231,430.7815732203079,715.0
232,430.97082407155455,713.0
233,431.1600694779319,719.0
234,431.3493094378667,734.0
235,431.53854394978566,747.0
236,431.72777301211556,744.0
237,431.9169966232832,747.0
238,432.1062147817152,738.0
239,432.2954274858386,716.0
240,432.48463473408003,711.0
241,432.6738365248662,716.0
242,432.863032856624,729.0
243,433.0522237277801,743.0
244,433.24140913676126,746.0
245,433.43058908199436,742.0
246,433.61976356190615,728.0
247,433.8089325749233,719.0
248,433.9980961194727,712.0
249,434.18725419398095,708.0
250,434.3764067968751,724.0
251,434.56555392658163,735.0
252,434.7546955815274,739.0
253,434.94383176013923,751.0
254,435.1329624608439,742.0
255,435.3220876820682,715.0
256,435.5112074222387,701.0
257,435.70032167978246,702.0
258,435.8894304531261,713.0
259,436.07853374069634,715.0
260,436.26763154092,728.0
261,436.4567238522239,742.0
262,436.6458106730348,728.0
263,436.8348920017794,728.0
264,437.02396783688454,732.0
265,437.2130381767769,723.0
266,437.4021030198834,720.0
267,437.59116236463063,720.0
268,437.7802162094455,720.0
269,437.9692645527547,720.0
270,438.15830739298497,713.0
271,438.34734472856326,712.0
272,438.5363765579162,715.0
273,438.72540287947055,720.0
274,438.9144236916531,724.0
275,439.1034389928906,727.0
276,439.2924487816099,736.0
277,439.4814530562378,740.0
278,439.6704518152008,747.0
279,439.859445056926,754.0
280,440.04843277984,738.0
281,440.2374149823696,725.0
282,440.4263916629416,729.0
283,440.61536281998275,725.0
284,440.8043284519197,720.0
285,440.99328855717937,717.0
286,441.1822431341885,723.0
287,441.3711921813739,721.0
288,441.56013569716225,713.0
289,441.74907367998037,728.0
290,441.93800612825504,725.0
291,442.12693304041295,705.0
292,442.31585441488096,704.0
293,442.5047702500858,705.0
294,442.6936805444543,723.0
295,442.8825852964132,735.0
296,443.07148450438916,725.0
297,443.26037816680906,723.0
298,443.4492662820997,719.0
299,443.63814884868776,724.0
300,443.827025865,717.0
301,444.0158973294633,701.0
302,444.2047632405044,719.0
303,444.39362359655,734.0
304,444.58247839602694,738.0
305,444.77132763736194,739.0
306,444.9601713189817,731.0
307,445.1490094393132,735.0
308,445.3378419967831,739.0
309,445.52666898981806,723.0
310,445.715490416845,715.0
311,445.9043062762907,724.0
312,446.0931165665818,742.0
313,446.2819212861452,754.0
314,446.4707204334075,742.0
315,446.65951400679563,728.0
316,446.84830200473635,717.0
317,447.03708442565636,713.0
318,447.22586126798245,742.0
319,447.41463253014143,754.0
320,447.60339821056004,732.0
321,447.79215830766503,719.0
322,447.98091281988314,720.0
323,448.1696617456413,731.0
324,448.3584050833661,734.0
325,448.5471428314844,732.0
326,448.73587498842295,725.0
327,448.9246015526085,715.0
328,449.11332252246785,724.0
329,449.3020378964278,727.0
330,449.49074767291506,712.0
331,449.6794518503564,713.0
332,449.86815042717853,727.0
333,450.05684340180846,729.0
334,450.2455307726727,719.0
335,450.43421253819815,711.0
336,450.6228886968115,711.0
337,450.8115592469396,719.0
338,451.0002241870092,738.0
339,451.1888835154471,743.0
340,451.37753723068005,725.0
341,451.5661853311347,723.0
342,451.754827815238,723.0
343,451.9434646814166,715.0
344,452.1320959280973,706.0
345,452.32072155370696,685.0
346,452.5093415566722,688.0
347,452.6979559354198,709.0
348,452.88656468837667,704.0
349,453.07516781396953,688.0
350,453.263765310625,681.0
351,453.4523571767701,686.0
352,453.64094341083137,685.0
353,453.8295240112357,669.0
354,454.0180989764099,669.0
355,454.20666830478064,677.0
356,454.39523199477475,682.0
357,454.58379004481895,690.0
358,454.7723424533401,685.0
359,454.96088921876486,675.0
360,455.14943033952005,678.0
361,455.33796581403243,681.0
362,455.52649564072874,679.0
363,455.7150198180359,678.0
364,455.9035383443805,686.0
365,456.0920512181894,696.0
366,456.28055843788934,697.0
367,456.4690600019071,689.0
368,456.65755590866945,675.0
369,456.84604615660317,679.0
370,457.03453074413505,682.0
371,457.2230096696918,661.0
372,457.41148293170016,656.0
373,457.59995052858704,682.0
374,457.78841245877913,702.0
375,457.9768687207032,693.0
376,458.165319312786,669.0
377,458.3537642334543,669.0
378,458.54220348113483,675.0
379,458.73063705425454,662.0
380,458.91906495124,658.0
381,459.10748717051814,662.0
382,459.2959037105156,663.0
383,459.48431456965926,677.0
384,459.67271974637566,682.0
385,459.86111923909186,675.0
386,460.04951304623455,667.0
387,460.2379011662304,669.0
388,460.42628359750626,681.0
389,460.6146603384889,662.0
390,460.803031387605,646.0
391,460.99139674328154,667.0
392,461.179756403945,682.0
393,461.36811036802237,678.0
394,461.55645863394034,654.0
395,461.7448012001256,644.0
396,461.93313806500515,661.0
397,462.12146922700555,670.0
398,462.3097946845537,674.0
399,462.4981144360762,671.0
400,462.68642847999996,670.0
401,462.8747368147518,671.0
402,463.0630394387584,662.0
403,463.2513363504465,655.0
404,463.4396275482429,651.0
